sequence_identifier	Kingdom	Phylum	Class	Order	Family	Genus	Mfunction
fbd2163207b02c6705bb2e98c7683de8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas
fbe5825ef29c212777cc294535a70235	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
fc2647562b1ae2d327baea519948fe11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Devosia
fca76079b8a15dbe482fd05c7e2e7a1c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	uncultured
fd124f300af1b19532e5d40f428c1728	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae		
fd9b934f05d32d6e87ad78641acb2ca0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
fdc15b7cffec9ba1e41a74a65e1b536d	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
fe0f7aacfbcb84ae8788aaa6362ff7b3	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Chthoniobacter
fe291334f9090dd3dc62e6b0791881f7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans
fe6661663a90521cdc2c6ff88a31bfb8	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
fe7ca190e6c4fcd1e1892dd2d5489273	Bacteria	Proteobacteria	Alphaproteobacteria				
febc5883db2d9e649c1f7e7ecca3e8ba	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium sensu stricto 1
